ENTITY,CODE,YEAR,NUMBER OF EXECUTIONS (AMNESTY INTERNATIONAL),DEATHS - MENINGITIS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - NEOPLASMS - SEX: BOTH - AGE: ALL AGES (NUMBER),"DEATHS - FIRE, HEAT, AND HOT SUBSTANCES - SEX: BOTH - AGE: ALL AGES (NUMBER)",DEATHS - MALARIA - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DROWNING - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - INTERPERSONAL VIOLENCE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - HIV/AIDS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DRUG USE DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - TUBERCULOSIS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ROAD INJURIES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - MATERNAL DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - LOWER RESPIRATORY INFECTIONS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - NEONATAL DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ALCOHOL USE DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - EXPOSURE TO FORCES OF NATURE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DIARRHEAL DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ENVIRONMENTAL HEAT AND COLD EXPOSURE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - NUTRITIONAL DEFICIENCIES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - SELF-HARM - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CONFLICT AND TERRORISM - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DIABETES MELLITUS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - POISONINGS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - PROTEIN-ENERGY MALNUTRITION - SEX: BOTH - AGE: ALL AGES (NUMBER),TERRORISM (DEATHS),DEATHS - CARDIOVASCULAR DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CHRONIC KIDNEY DISEASE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CHRONIC RESPIRATORY DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CIRRHOSIS AND OTHER CHRONIC LIVER DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DIGESTIVE DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ACUTE HEPATITIS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ALZHEIMER'S DISEASE AND OTHER DEMENTIAS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - PARKINSON'S DISEASE - SEX: BOTH - AGE: ALL AGES (NUMBER)
Belarus,BLR,2008,4,79.0,20080.0,789.0,0.0,1072.0,1298.0,326.0,318.0,729.0,1882.0,18.0,1363.0,327.0,2426.0,5.0,11.0,1156.0,46.0,3594.0,12.0,425.0,465.0,24.0,0.0,80064.0,509.0,3173.0,2968.0,4932.0,25.0,2778.0,595.0
Belarus,BLR,2010,2,74.0,21004.0,804.0,0.0,1065.0,1015.0,379.0,383.0,692.0,1695.0,18.0,1421.0,290.0,2917.0,4.0,12.0,1125.0,51.0,3421.0,8.0,403.0,469.0,26.0,0.0,81911.0,515.0,2721.0,3225.0,5323.0,26.0,2926.0,625.0
Belarus,BLR,2011,2,72.0,21181.0,845.0,0.0,991.0,1204.0,412.0,364.0,668.0,1651.0,19.0,1430.0,276.0,2996.0,6.0,13.0,1190.0,54.0,3396.0,26.0,402.0,444.0,27.0,13.0,83777.0,525.0,2586.0,3329.0,5498.0,28.0,3022.0,648.0
Belarus,BLR,2012,3,62.0,19224.0,761.0,0.0,813.0,901.0,370.0,348.0,537.0,1372.0,17.0,1236.0,264.0,2899.0,0.0,13.0,913.0,50.0,2820.0,0.0,361.0,391.0,26.0,0.0,76747.0,479.0,2304.0,2742.0,4718.0,24.0,3081.0,616.0
Chad,TCD,2007,0,4355.0,4284.0,392.0,7343.0,562.0,870.0,6037.0,8.0,7281.0,1992.0,2541.0,18597.0,12866.0,64.0,29.0,29087.0,110.0,3718.0,759.0,378.0,1273.0,303.0,3627.0,136.0,10543.0,1361.0,2225.0,2146.0,3926.0,727.0,520.0,153.0
Chad,TCD,2008,0,4398.0,4437.0,399.0,7664.0,557.0,764.0,5313.0,8.0,7243.0,2040.0,2615.0,18664.0,13233.0,67.0,0.0,29380.0,112.0,3573.0,779.0,1057.0,1314.0,309.0,3483.0,172.0,10823.0,1398.0,2274.0,2196.0,4014.0,672.0,532.0,159.0
Chad,TCD,2009,0,4364.0,4596.0,407.0,7952.0,567.0,789.0,4586.0,9.0,7189.0,2082.0,2649.0,18735.0,13669.0,69.0,6.0,29744.0,114.0,3447.0,796.0,138.0,1355.0,314.0,3359.0,0.0,11110.0,1439.0,2324.0,2243.0,4098.0,619.0,543.0,164.0
Chad,TCD,2015,10,4451.0,5530.0,445.0,6416.0,602.0,992.0,4788.0,12.0,7043.0,2357.0,3011.0,19109.0,15805.0,80.0,0.0,30485.0,126.0,2796.0,879.0,543.0,1550.0,340.0,2714.0,306.0,12638.0,1646.0,2552.0,2616.0,4708.0,452.0,628.0,189.0
China,CHN,2008,>1000,8384.0,2168067.0,11363.0,15.0,73624.0,21775.0,16310.0,10288.0,61286.0,327299.0,4534.0,187559.0,93539.0,21408.0,88421.0,10058.0,4676.0,10623.0,154710.0,114.0,125045.0,28939.0,7906.0,39.0,3523450.0,146413.0,1149016.0,167955.0,292928.0,4757.0,197380.0,54828.0
China,CHN,2009,>1000,8394.0,2214787.0,11346.0,9.0,72888.0,20659.0,16364.0,9981.0,56959.0,329237.0,4207.0,186990.0,87453.0,21192.0,611.0,8901.0,4447.0,10874.0,150572.0,392.0,128147.0,30105.0,8098.0,186.0,3669964.0,152838.0,1145608.0,164921.0,288756.0,4509.0,208139.0,57485.0
China,CHN,2010,>1000,8341.0,2265802.0,11362.0,12.0,70955.0,18926.0,16722.0,9838.0,53312.0,327545.0,3762.0,186499.0,79733.0,21077.0,7175.0,7891.0,4454.0,11293.0,146044.0,19.0,132114.0,30838.0,8425.0,7.0,3831636.0,160396.0,1139700.0,162119.0,285663.0,4334.0,218436.0,60241.0
China,CHN,2011,>1000,8193.0,2296328.0,11152.0,11.0,66696.0,17477.0,17075.0,9567.0,50513.0,315824.0,3350.0,184317.0,75901.0,20738.0,844.0,7198.0,4400.0,11739.0,139061.0,67.0,134980.0,30883.0,8809.0,19.0,3937801.0,165833.0,1115828.0,158710.0,281834.0,4212.0,225852.0,61781.0
China,CHN,2012,>1000,8057.0,2318471.0,10934.0,0.0,65110.0,16177.0,16455.0,9170.0,48260.0,300970.0,3015.0,181048.0,74505.0,20458.0,871.0,6779.0,4441.0,12120.0,131641.0,55.0,137073.0,30494.0,9145.0,27.0,3973790.0,169494.0,1083590.0,155219.0,277791.0,4158.0,232656.0,62640.0
China,CHN,2013,>1000,7971.0,2337453.0,10851.0,0.0,63152.0,15134.0,17728.0,8989.0,46072.0,288937.0,2761.0,178100.0,68958.0,20181.0,1402.0,6452.0,4616.0,12748.0,126196.0,213.0,140303.0,30263.0,9690.0,60.0,4049045.0,173650.0,1058374.0,151718.0,273718.0,4160.0,239240.0,63853.0
China,CHN,2014,>1000,7740.0,2378155.0,10766.0,0.0,62733.0,14194.0,21784.0,8980.0,43438.0,279949.0,2340.0,175785.0,63241.0,20069.0,1684.0,6131.0,4582.0,13528.0,123006.0,425.0,145136.0,29957.0,10365.0,322.0,4120839.0,177089.0,1042132.0,149653.0,271449.0,4143.0,249056.0,65555.0
China,CHN,2015,>1000,7553.0,2414868.0,10738.0,0.0,61489.0,13512.0,26060.0,8872.0,41987.0,268987.0,2341.0,175523.0,66013.0,19893.0,551.0,6078.0,4720.0,14487.0,120453.0,211.0,149030.0,29323.0,11176.0,123.0,4180060.0,179638.0,1029418.0,148056.0,270036.0,4171.0,259217.0,66761.0
China,CHN,2016,>1000,7550.0,2477718.0,10789.0,0.0,61049.0,13076.0,29402.0,8964.0,42073.0,262951.0,2510.0,179477.0,66904.0,19803.0,1340.0,6243.0,5072.0,15827.0,121045.0,20.0,155700.0,29051.0,12262.0,13.0,4292981.0,184528.0,1039047.0,148104.0,271648.0,4234.0,275481.0,69364.0
Egypt,EGY,2008,2,1138.0,42135.0,1378.0,0.0,1025.0,503.0,93.0,47.0,1087.0,25929.0,957.0,26708.0,16142.0,117.0,98.0,13224.0,49.0,886.0,2381.0,16.0,13100.0,175.0,736.0,0.0,207451.0,15535.0,18612.0,48127.0,53614.0,1689.0,5212.0,1732.0
Egypt,EGY,2009,5,1137.0,44866.0,1415.0,0.0,1051.0,535.0,93.0,50.0,1054.0,26837.0,996.0,26664.0,15121.0,121.0,2.0,13111.0,49.0,889.0,2484.0,10.0,13951.0,180.0,734.0,1.0,214374.0,16199.0,19088.0,49630.0,55290.0,1657.0,5340.0,1796.0
Egypt,EGY,2010,4,1111.0,46171.0,1447.0,0.0,1070.0,535.0,95.0,53.0,1039.0,27409.0,1017.0,25864.0,13363.0,125.0,62.0,12788.0,48.0,874.0,2593.0,39.0,14715.0,183.0,718.0,0.0,219382.0,16806.0,19409.0,50816.0,56588.0,1605.0,5464.0,1847.0
Egypt,EGY,2011,1,1115.0,47360.0,1462.0,0.0,1093.0,562.0,101.0,58.0,1029.0,28205.0,955.0,25786.0,11489.0,129.0,2.0,12763.0,48.0,871.0,2672.0,116.0,15183.0,186.0,713.0,28.0,221812.0,17195.0,19685.0,51945.0,57828.0,1568.0,5607.0,1898.0
Egypt,EGY,2014,15,925.0,50183.0,1474.0,0.0,1051.0,593.0,98.0,63.0,1145.0,28405.0,863.0,23910.0,6873.0,135.0,5.0,11977.0,49.0,842.0,2840.0,293.0,16886.0,183.0,677.0,343.0,236288.0,18893.0,20849.0,55221.0,61427.0,1443.0,5999.0,2053.0
